id,label,pred,prob,type,target,path,text,meme_discription,text_discription
10529,1,1,0.685707,3,0,10529.jpg,群猪,这是一张合成的漫画风格图像，展现了一只穿人衣服、模仿人类姿势的熊猫形象。,"""群猪""指的是一群猪，是汉语中表示动物集体的常用词汇。"
10201,1,1,0.683578,3,0,10201.jpg,辣鸡,这是一个卡通形象，一个男人举着刀，表情生气。,"""辣鸡""通常是网络用语，用来形容某人或某物很糟糕、无能或让人失望。"
10116,1,1,0.681055,3,0,10116.jpg,你搁那瞎比比啥呢,这是一张图，上面有一个穿红色服装的卡通角色在草地上。,这句话是一种带有贬义的口语表达，意思是质疑对方在说些无意义或无关紧要的话。
10621,1,1,0.680315,3,0,10621.jpg,本群龙王  必死,这是一张拼接图，上面有卡通版的熊猫头部和人的面孔。,这可能是一句网络用语，用来调侃或威胁某个群聊中的管理员或领导者。
11195,1,1,0.679499,3,0,11195.jpg,食屎啦你,一只卡通风格的熊猫，融合了一个人的脸。,这是一句粗俗的侮辱性语言，表达对他人的极度不满和鄙视。
10532,1,1,0.676958,3,0,10532.jpg,你看看你,这是一张卡通图片，展示了一只穿帽子的猪慰问一只流泪的熊猫。,这是一句口语化的表达，可能是在责备或提醒某人注意自己的行为或言语。
10491,1,1,0.675957,3,0,10491.jpg,你 我,这是一张手绘风格的简图，显示一只穿红色领带的狗向人伸出爪子。,这是两个常用的汉字，表示人称代词，分别代表“你”和“我”，常用于交流对话中指代双方。
10745,1,1,0.672781,3,0,10745.jpg,你要搞清楚我才是你爸爸,一只黑白色的卡通熊猫手持橙色物品。,这句话可能是在开玩笑或者显示权威，表达说话者对对方有控制或支配地位。
10192,1,1,0.672039,3,0,10192.jpg,夺笋呐 指指点点,一个卡通熊猫人物，头部替换为模糊的人脸。,这是一句汉语成语，意思是对事物进行挑剔和指责。
10512,1,1,0.669718,3,0,10512.jpg,"U giver gun
你给我滚",一张融合了人类脸部特征和熊猫头部特征的黑白卡通图案。,这是一句带有侮辱性质的话，意思是让对方离开，表达了强烈的不满情绪。
10768,1,1,0.669016,3,0,10768.jpg,要说傻逼谁能比过你,这是一幅卡通化的图画，展示了一只熊猫与人类脸部特征相结合的形象。,这是一句带有侮辱性质的话语，用来贬低对方智商和能力。
10556,1,1,0.668707,3,0,10556.jpg,再BB劳资禁你一年,抱歉，我无法帮助描述或做出关于这张图片的评论。,这是一句网络用语，表达了对某人的不满和禁止其行为的决定，语气较为强烈。
10752,1,1,0.667855,3,0,10752.jpg,骚的不行啊老哥,这是一张融合了人脸和熊猫特征的图画。,这句话是一种网络用语，表达对某人或某事的赞叹或惊讶，含有夸张的成分。
10047,1,1,0.667784,3,0,10047.jpg,传统美德 CTMD,图片展示了一个卡通熊猫头像，头部是一个男性的面部特征。,"""CTMD""可能是""传统美德""的缩写，强调了中华文化中重视的道德价值观。"
10325,1,1,0.667138,3,0,10325.jpg,就你马洒啤,三只卡通独角兽逐渐变为一只卡通马，手持啤酒杯，伴随一滩液体。,这是一句方言表达，意思是“你真会浪费啤酒”，含有责备或调侃的语气。
5309,1,0,0.315789,4,0,5309.jpg,永远不要免费地去做你擅长的事。我。如何贩卖焦虑。,模糊的背景中，一个人快速离开，另一个人专注地用电脑。,这句话强调了个人技能的价值，建议人们应该为自己的专长获得报酬。
6305,1,0,0.324549,1,9,6305.jpg,大家以为的程序员工作。实际上的程序员工作。,两幅漫画，上图人追逐错误，下图人忽略小错误集中大目标。,这条文本反映了人们对程序员工作的误解和实际情况的差异。
6107,1,0,0.325786,2,0,6107.jpg,妈妈：咱家来客人了，我给那些小孩放了点你电脑里面的动画片。我：但是我电脑里没有什么动…,男子表情惊讶，手持放大镜，正细致观察手中的物体。,妈妈为了招待客人的小孩，随意使用了我电脑里的资源，我担心动画片内容不合适。
5056,1,0,0.328091,1,4,5056.jpg,辛辛苦苦拼的积木：掉到地上。我：靠北千万别散了。积木：,这是一张展示苏联（U.S.S.R.）在亚洲部分的黄色地图。,积木掉落时，作者担心积木散开，但积木无法回应，表达了无奈和幽默。
6248,1,0,0.330561,1,9,6248.jpg,体育老师：别叫，有那么冷吗？别抱怨了闭嘴。同样是体育老师：。,一个穿着巨大绿色褶皱外套的人站在装饰着圣诞树的房间里。,体育老师对学生抱怨天气冷的反应，表现出严厉和不理解。
6035,1,0,0.330981,1,12,6035.jpg,富人:你们穷人的意见可真多，你们不会想点其他办法，走其他路发家致富吗。穷人能选择的道路。,一枚棋马放在部分象棋格板上。,这是一段对话，富人对穷人的质疑和不满，暗含社会阶层差距和对穷人的偏见。
330,1,0,0.331469,1,1,330.jpg,我男友和我男友和他朋友在一起时：我在一起时：,两张合成的图片，分别展示了一位穿黑衣的卡通人物和一位穿粉红裙子的卡通公主。,这是一句表达嫉妒心理的话，暗示男友和朋友在一起时比和自己在一起时更快乐。
1277,1,0,0.332356,4,0,1277.jpg,在公司做的压力测试结果说我压力值为0，正当高兴我居然毫无压力时在场的医生很异地和我说「认真生活还没有任何压力是不可能的。你这种情况应该是心死了。」那件事后公司的人们开始称我为精神僵户,这张图片显示了一只豹纹的猫科动物，可能是猎豹，特写镜头聚焦在它的脸上。,这段文本反映了社会对压力的普遍认知，以及对无压力状态的质疑和负面评价。
6306,1,0,0.332833,4,0,6306.jpg,我和家里的猫想要弄清楚我妈到底在说谁整天待在家里只会吃饭睡觉无所事事对社会毫无贡献：,一只灰色的大猫紧张地瞪着一只小老鼠，老鼠似乎很放松。,这是一句带有幽默和自嘲的话，表达了家里猫和自己都是懒惰的状态，引发共鸣和笑意。
